Designator,Footprint,Quantity,Value,LCSC Part #
"C1001, C1002, C1003, C1004, C1005, C1007, C1008, C203, C206, C208, C308, C309, C408, C409, C601, C602, C603, C701, C702, C703, C704, C706, C901",1206,23,100n,
"C1006, C705",0603,2,100n,
"C201, C204",CP_Radial_D8.0mm_P5.00mm,2,680u,
"C202, C205",CP_Radial_D8.0mm_P3.50mm,2,100u,
C207,CP_Radial_D6.3mm_P2.50mm,1,10u,
"C301, C302, C401, C402, C903",0603,5,470p,
"C303, C403",0603,2,330p,
"C304, C404",0603,2,68p,
"C305, C306, C307, C405, C406, C407",1206,6,1n,
C604,1206,1,10u,
C902,1206,1,3.3u,
CR601,SOT-23-6_Handsoldering,1,USBLC6-2SC6,
D601,1206,1,LED,
D602,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4001,
"D701, D702",D_MiniMELF,2,BZV55B12,
"D901, D902",D_MiniMELF,2,BZV55B3V3,
J101,PinHeader_1x03_P2.54mm_Horizontal,1,Conn_01x03_Pin,
J102,CONN_6575_AMP,1,031-6575,
J201,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,1,Screw_Terminal_01x04,
J202,TerminalBlock_MaiXu_MX126-5.0-03P_1x03_P5.00mm,1,Screw_Terminal_01x03,
J601,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J602,PinHeader_2x08_P2.54mm_Vertical,1,Conn_01x16_Pin,
J603,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
JP601,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
R1001,1206,1,200k,
R1002,1206,1,330k,
R1003,1206,1,3k,
R1004,1206,1,150k,
R1005,1206,1,16k,
R1006,1206,1,390k,
"R1007, R1014, R201, R601, R603, R718",1206,6,10k,
R1008,1206,1,680k,
R1009,1206,1,120k,
"R1010, R1013, R716",1206,3,100k,
"R1011, R1012, R602, R715, R717, R901",1206,6,100,
"R301, R401",1206,2,120,
"R302, R402, R711",1206,3,240,
"R303, R403, R707",1206,3,160,
"R304, R404",1206,2,360,
"R305, R405",1206,2,470,
"R306, R406",1206,2,820,
"R604, R605",1206,2,5.1k,
R701,1206,1,47k,
"R702, R704, R709",1206,3,2k7,
R703,1206,1,27k,
R705,1206,1,56k,
R706,1206,1,3k6,
R708,1206,1,22k,
R710,1206,1,11k,
R712,1206,1,91k,
R713,1206,1,8k2,
R714,1206,1,560,
"SW601, SW602",SW_Push_1P1T_NO_CK_KSC9xxJ,2,SW_MEC_5E,
"TP1001, TP1002, TP1003, TP1004, TP1005, TP1006, TP701, TP702, TP703, TP901, TP902, TP903, TP904",TestPoint_Pad_D1.0mm,13,TestPoint,
"U1001, U701",SOIC-16_3.9x9.9mm_P1.27mm,2,4051,
U1002,VSSOP-10_3x3mm_P0.5mm,1,DAC122S085CIMM/NOPB,
"U1003, U703",R_8_ADI,2,AD8671ARZ,
"U1004, U702",SOT-363_SC-70-6,2,NC7SB3157P6X,
U201,SOT-23-5,1,REF2030,
"U301, U401",SOIC-14_3.9x8.7mm_P1.27mm,2,LM6134BIMX/NOPB,
U501,MAX1000,1,MAX1000,
U601,ESP32-S3-WROOM-2,1,ESP32-S3-WROOM-2,
U901,SOIC-8_3.9x4.9mm_P1.27mm,1,TLV9022DR,
U902,SOT-23-6_Handsoldering,1,ADS7883SBDBVT,
