Designator,Mid X,Mid Y,Rotation,Layer
C1001,80.898295,-138.563939,180.0,top
C1002,112.9,-136.5,0.0,top
C1003,115.8,-126.9,180.0,top
C1004,87.073295,-152.888939,270.0,bottom
C1005,102.073295,-142.088939,90.0,bottom
C1006,104.305,-138.3575,90.0,bottom
C1007,92.873295,-144.088939,90.0,bottom
C1008,106.505,-137.4575,90.0,bottom
C201,124.6,-118.3,90.0,top
C202,114.902651,-118.4,180.0,top
C203,119.8375,-124.0,0.0,top
C204,133.8,-142.902651,90.0,top
C205,125.0,-132.897349,270.0,top
C206,126.8,-140.4,180.0,top
C207,134.0,-95.35,90.0,top
C208,53.0,-144.8,180.0,top
C301,59.3,-106.7,90.0,top
C302,55.5,-106.7,90.0,top
C303,57.5,-106.7,90.0,top
C304,63.7,-115.3,0.0,top
C305,63.9,-120.7,180.0,top
C306,64.5,-111.9,180.0,top
C307,48.7,-107.3,0.0,top
C308,51.9375,-117.7,0.0,bottom
C309,52.1,-112.5,0.0,bottom
C401,104.273295,-139.676439,90.0,top
C402,96.473295,-147.288939,180.0,top
C403,96.523295,-145.288939,180.0,top
C404,110.873295,-141.688939,0.0,top
C405,110.473295,-150.288939,270.0,top
C406,101.873295,-138.926439,270.0,top
C407,96.473295,-141.288939,270.0,top
C408,106.073295,-151.088939,270.0,bottom
C409,102.873295,-151.051439,270.0,bottom
C601,103.6,-64.4625,90.0,top
C602,44.1,-74.5625,270.0,bottom
C603,44.1,-83.5,90.0,bottom
C604,52.2,-69.6625,90.0,bottom
C701,70.3,-129.5,0.0,top
C702,64.7,-126.7,0.0,top
C703,50.9375,-124.3,180.0,top
C704,58.1,-119.7,270.0,top
C705,58.5,-124.3,90.0,top
C706,57.9,-134.9,270.0,top
C901,69.1,-108.3,270.0,top
C902,53.0,-93.6375,270.0,top
C903,54.7,-99.3,0.0,top
CR601,60.7,-71.97,90.0,top
D601,124.2,-89.35,270.0,top
D602,52.2,-69.88,90.0,top
D701,61.6,-141.8,0.0,top
D702,68.0,-141.8,0.0,top
D901,50.9,-101.5,0.0,top
D902,56.7,-101.5,0.0,top
J101,78.0,-149.615,270.0,top
J102,65.0,-149.3475,0.0,top
J201,133.8,-127.3,270.0,top
J202,134.0,-107.8,90.0,top
J601,128.4,-68.71,0.0,top
J602,115.11,-106.87,90.0,top
J603,60.02,-63.695,180.0,top
JP601,54.47,-78.9,90.0,top
R1001,88.498295,-136.963939,90.0,bottom
R1002,86.098295,-136.963939,90.0,bottom
R1003,86.098295,-131.763939,90.0,bottom
R1004,83.698295,-136.963939,90.0,bottom
R1005,83.698295,-131.813939,90.0,bottom
R1006,90.898295,-136.963939,90.0,bottom
R1007,90.898295,-131.763939,90.0,bottom
R1008,84.098295,-145.563939,270.0,bottom
R1009,86.673295,-147.088939,90.0,bottom
R1010,89.298295,-145.563939,270.0,bottom
R1011,100.473295,-153.688939,0.0,top
R1012,99.073295,-150.888939,90.0,bottom
R1013,97.473295,-149.688939,180.0,top
R1014,104.105,-133.945,90.0,top
R201,47.0,-144.6,270.0,top
R301,48.7,-110.1,180.0,top
R302,48.7,-110.1,180.0,bottom
R303,64.5,-111.9,180.0,bottom
R304,64.5,-108.7,180.0,top
R305,63.95,-117.9,180.0,bottom
R306,63.95,-117.9,180.0,top
R401,99.273295,-140.345,90.0,top
R402,99.273295,-141.288939,270.0,bottom
R403,112.905,-152.095,90.0,top
R404,106.473295,-138.938939,270.0,top
R405,111.873295,-146.451439,180.0,top
R406,111.873295,-143.888939,180.0,top
R601,47.4,-74.65,270.0,bottom
R602,124.2,-94.35,270.0,top
R603,47.4,-83.5,90.0,bottom
R604,66.2,-70.12,180.0,top
R605,56.45,-71.62,90.0,top
R701,68.15,-135.1,180.0,bottom
R702,73.15,-135.1,180.0,bottom
R703,68.15,-132.7,180.0,bottom
R704,73.15,-132.7,180.0,bottom
R705,68.15,-130.3,180.0,bottom
R706,73.15,-130.3,180.0,bottom
R707,78.35,-130.3,180.0,bottom
R708,68.15,-137.5,180.0,bottom
R709,73.15,-137.5,180.0,bottom
R710,59.85,-129.5,0.0,bottom
R711,54.85,-129.5,0.0,bottom
R712,59.9,-134.5,0.0,bottom
R713,54.9,-134.5,0.0,bottom
R714,54.9,-137.1,0.0,bottom
R715,52.7,-119.7,90.0,top
R716,54.1,-136.5,90.0,top
R717,55.1,-119.7,90.0,top
R718,65.1,-124.1,180.0,top
R901,51.9,-104.9,0.0,top
SW601,46.0,-75.0,180.0,top
SW602,46.0,-83.05,0.0,top
U1001,88.673295,-141.288939,0.0,top
U1002,112.8,-131.4,90.0,top
U1003,89.209495,-149.053939,180.0,top
U1004,104.673295,-142.488939,270.0,bottom
U201,50.4,-141.8,180.0,top
U301,56.7,-112.5,0.0,top
U401,104.598295,-147.088939,90.0,top
U501,86.86,-93.697,0.0,top
U601,115.55,-66.715,0.0,top
U701,63.9,-133.9,270.0,top
U702,60.9,-123.9875,90.0,top
U703,54.3,-129.5,90.0,top
U901,66.3,-101.9,180.0,top
U902,56.8,-96.1,180.0,top
