Designator,Mid X,Mid Y,Rotation,Layer
C101,144.95,-83.243742,180.0,bottom
C102,161.8,-81.6,270.0,bottom
C103,75.0,-71.0,270.0,bottom
C104,145.8,-60.4,270.0,bottom
C105,144.9,-75.2,180.0,bottom
J101,119.27,-94.47,270.0,bottom
R101,149.95,-83.243742,0.0,bottom
R102,158.0,-83.243742,180.0,bottom
R103,141.15,-65.043742,180.0,bottom
R104,141.15,-68.843742,180.0,bottom
R105,141.2,-72.8,180.0,bottom
R106,141.15,-62.043742,180.0,bottom
SW101,145.0,-90.0,0.0,top
SW102,159.5,-90.0,0.0,top
SW103,149.375,-70.0,0.0,top
U101,104.0175,-79.5,0.0,top
